,Unnamed: 0,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1443,129870,China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,42.700001,43.599998,44.299999,44.799999,46.099998,46.799999,48.0,49.5,50.900002,52.0,53.5,54.799999,56.0,57.200001,58.5,59.900002,61.299999,62.299999,63.700001,64.400002,
1444,129871,China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.9308700561523,97.2132186889648,97.4872817993164,97.7518768310547,98.0058364868164,98.2481307983398,98.4812927246094,98.7114028930664,98.9447021484375,99.1874160766602,99.7,99.8572235107422,99.9648742675781,99.9970092773438,100.0,100.0,100.0,100.0,100.0,100.0,
1445,129872,China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.2136831633355,95.714886377462,96.0736174868027,96.427827573608,96.7704295834656,97.0935765838436,97.3999242884045,97.7056056215021,98.0469825281521,98.4445249216427,99.4091464137797,99.7114985366578,99.9271779155481,99.9936349997779,100.0,100.0,100.0,100.0,100.0,100.0,
1446,129873,China,CHN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100.0,99.754280090332,99.7526397705078,99.756591796875,99.7730712890625,99.8087692260742,99.8649749755859,99.9308700561523,99.975944519043,99.99609375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
1447,129874,China,CHN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,63.817310333252,,,78.8526000976563,,,80.229118347168,,,
1448,129875,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,60.008674621582,,,76.2497329711914,,,76.3647308349609,,,
1449,129876,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,67.5847930908203,,,81.3689727783203,,,83.9666366577148,,,
1450,129877,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,63.2813529968262,,,79.6872100830078,,,79.2617340087891,,,
1451,129878,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,46.6263618469238,,,72.5763931274414,,,68.3502578735352,,,
1452,129879,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,56.7323799133301,,,72.6666564941406,,,71.3846740722656,,,
1453,129880,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,75.2636871337891,,,82.9060821533203,,,88.4227828979492,,,
1454,129881,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,81.8726425170898,,,89.5185317993164,,,94.6138153076172,,,
1455,129882,China,CHN,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,65.2909622192383,,,74.0605926513672,,,87.0163879394531,,,
1456,129883,China,CHN,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,55.3453449884928,,,,,,,
1457,129884,China,CHN,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,36.8299630478399,,,,,,,
1458,129885,China,CHN,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,2.3376689422997,,,,,,,
1459,129886,China,CHN,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,
1460,129887,China,CHN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,
1461,129888,China,CHN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,
1462,129889,China,CHN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,
1463,129890,China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,9.59119060712101,11.6510463162215,12.2392551980183,11.9377591627569,11.3758810869875,13.0300459246784,14.4555660199864,15.5125859945028,7.19457780648769,13.3854111773499,9.08839234282459,4.63093950529311,10.6613727922473,6.78842931542074,8.84942449908684,7.95782685246536,8.53805967711195,7.927135555967,5.20007191629261,5.08170551176728,
1464,129891,China,CHN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1989463714379.09,2221257053185.82,2493122372529.21,2790745316994.56,3108217185696.53,3513219312431.53,4021075049566.98,4644847774534.56,4979024961666.36,5645487925408.29,6158572017736.18,6443771762267.46,7130766291724.35,7614833321085.91,8288702246566.71,8948302819664.9,9712314254496.58,10482222571072.0,11027305683193.6,11587680883895.9,
1465,129892,China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1032763299856.49,1146794290948.78,1272947919030.22,1439641240189.8,1673914029304.63,1935082035206.42,2318940400306.2,2977151518617.02,3758867051935.85,4268658620288.28,4940594116443.26,5878459325958.95,6849240389601.66,7635295584277.46,8464844369414.49,8948302819664.9,9185432833282.28,10198946415302.0,11389128926401.7,11731973455072.4,
1466,129893,China,CHN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,8.73105280202411,10.8429731304364,11.4897662633549,11.2427094318487,10.716343724302,12.3672389560853,13.818256419869,14.9108689229433,6.6467315433098,12.8228534194165,8.56280958081838,4.06073517115031,9.91324670365337,6.07950404525219,8.16547567108536,7.33192088025096,7.91786006965008,7.27588476933383,4.70922924135738,4.70959813296206,
1467,129894,China,CHN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1575.63187941115,1746.47722073029,1947.14337123493,2166.05504268438,2398.17694631601,2694.76521985666,3067.13478784991,3524.4712357562,3758.73337711809,4240.71024849262,4603.8341919453,4794.00933114167,5279.331227053,5609.94955066813,6075.55853794829,6525.79660423922,7044.72388469757,7560.77638124202,7917.76272730079,8290.4461094686,
1468,129895,China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,817.936395310234,901.674168297189,994.179880529694,1117.38686757979,1291.52559018933,1484.27732581108,1768.80627321185,2259.03741116791,2837.61964582163,3206.48004168102,3693.33606172008,4370.48799916653,5057.81344538186,5600.84474067476,6170.34126617475,6484.93529754098,6618.74839369233,7304.71053190375,8119.0858923848,8333.87684209314,
1469,129896,China,CHN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,18.9869170392699,21.3395609887287,23.1941945380125,25.9385982232442,27.5008274253955,27.2858518636309,28.7405501267042,30.780369996535,30.1910352783131,31.9632277418757,30.7169607437056,26.186217894201,27.3716165435257,26.4992852411944,26.7455490691324,25.4807426703137,25.3677802009226,26.58990839915,25.8435985176232,24.9767514704574,
