,Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (annual % growth),Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Air transport, passengers carried",Broad money (% of GDP),CO2 emissions (kt),Cereal production (metric tons),Consumer price index (2010 = 100),Current account balance (% of GDP),Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Forest area (% of land area),GDP per capita (current US$),GDP per capita growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Mortality rate, under-5 (per 1,000 live births)","People using at least basic sanitation services, urban (% of urban population)",Population ages 15-64 (% of total population),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)",Urban population
21,China,CHN,2000,96.9308700561523,9.59119060712101,46.2000563478889,55.5700446698569,61891807.0,135.580416035304,3344090.0,407336509.0,80.9700222903012,1.69384860067113,992.943384720171,1.60000002384186,18.7804969919467,959.372483635864,7.63859767603294,7.72349749428456,33.5730284937681,1.775913207,0.347811226864599,82.58,36.7,77.87545084,68.3994264262824,0.787956592953992,3.09999990463257,452999147.0
22,China,CHN,2001,97.2132186889648,11.6510463162215,45.2523408153918,55.6328406499339,72660653.0,141.08562496034,3526750.0,398396811.0,81.552298456301,1.29916795723171,1076.54912135865,1.61000001430511,19.031006736957,1053.10824300262,7.55165483155264,7.31518745322776,35.5415967198136,2.639650215,0.719125609120107,81.9,34.1,78.70934673,68.8457063371142,0.726380637838525,3.59999990463257,471767321.0
23,China,CHN,2002,97.4872817993164,12.2392551980183,43.5993398126902,55.695637819864,83671798.0,145.390144727744,3808330.0,398688240.0,80.9553593614031,2.40875846563914,1194.85629490784,1.62999999523163,19.2815168805051,1148.50829043887,8.40487997514565,8.78218302201748,36.1534434433744,4.595704331,-0.731970902350276,81.1,31.5,79.54648532,69.6382031793899,0.669999567758626,4.0,491993700.0
24,China,CHN,2003,97.7518768310547,11.9377591627569,41.606234661809,55.7583318331087,86040642.0,153.550935354663,4413300.0,376655003.0,81.8682148167155,2.59301902752269,1379.48463210183,1.63999998569489,19.5320280602681,1288.64325183475,9.35477664390774,9.73444215053784,39.6201305878555,6.2,1.12760348729636,80.25,28.8,80.38686662,70.6183595778575,0.622860936133583,4.30000019073486,512473984.0
25,China,CHN,2004,98.0058364868164,11.3758810869875,39.8428260613506,55.8204876430821,119789024.0,149.793554727932,5121830.0,413163790.0,84.9993772047539,3.52576604119287,1585.83878247787,1.6599999666214,19.7825365378985,1508.66809788453,9.4615587704991,9.80224731582405,41.8471972608319,7.3,3.82463743108159,79.45,26.3,81.23049061,71.5088523199023,0.593932815112141,4.19999980926514,533257098.0
26,China,CHN,2005,98.2481307983398,13.0300459246784,38.5730966495374,55.8831828468425,136721623.0,151.085803562345,5819120.0,429370265.0,86.5093181065059,5.7909216497316,1782.31215291627,1.67999994754791,20.0330481613855,1753.41782926104,10.7413751264029,10.2735018402278,40.3461495465791,8.523257003,1.77641407667574,78.78,24.0,82.07735731,72.1640797381751,0.588124989556992,4.19999980926514,554367818.0
27,China,CHN,2006,98.4812927246094,14.4555660199864,37.6015877423412,55.9457666238713,158013351.0,157.494532482608,6431910.0,452800282.0,87.9362296125359,8.42412573804395,2039.0146603408,1.69000005722046,20.2835578851316,2099.22943460734,12.0933046939024,12.6379172356194,39.9103386970019,10.52315262,1.64943099455862,78.24,21.9,82.92746671,72.6735800146097,0.558374367373002,4.09999990463257,575118254.0
28,China,CHN,2007,98.7114028930664,15.5125859945028,37.0137663297364,56.0083515761775,183613132.0,149.371964536552,6988210.0,457809418.0,92.1719134940608,9.94784738824408,2325.92676902765,1.69000005722046,20.5340680339958,2693.97006340427,13.6358205006408,14.0904329912152,40.4821901688549,16.0,4.81676767378831,77.84,20.1,83.78081881,72.9853668548011,0.522271866392275,4.0,595670841.0
29,China,CHN,2008,98.9447021484375,7.19457780648769,36.7435137159405,56.0709365390941,191001220.0,148.840914139071,7195010.0,480125970.0,97.6333310615016,9.15412298640639,2446.36905458402,1.71000003814697,20.7845781828599,3468.30460207977,9.09028010153618,9.51028428897757,42.2690268131211,22.6,5.92525137041095,77.52,18.5,84.63741362,73.1296112760178,0.51238693163744,4.19999980926514,616481190.0
30,China,CHN,2009,99.1874160766602,13.3854111773499,36.6013371826769,56.1332002008976,229062099.0,175.091378859566,7715110.0,483277147.0,96.9223990713835,4.76814437129387,2612.45662004417,1.73000001907349,21.0350872157688,3832.23643246922,8.85594767555551,8.02117143941641,45.3562358300454,28.9,-0.728165250932952,77.19,17.0,85.49725112,73.2057255394451,0.497381400884935,4.30000019073486,637407288.0
31,China,CHN,2010,99.7,9.08839234282459,36.489722882657,56.1202755223834,266293020.0,176.126636974039,8470570.0,497920509.0,100.0,3.90675188824401,2943.58995443689,1.75999999046326,21.2855968996448,4550.45310775599,10.1028326227139,9.81062542568505,46.5561547048834,34.3,3.17532475269199,76.79,15.8,86.36033133,73.26558948405,0.482959688678361,4.09999990463257,658498663.0
32,China,CHN,2011,99.8572235107422,4.63093950529311,36.5541919260221,56.1169108294991,292160158.0,174.527719800556,9278250.0,521171808.0,105.553898922575,1.80224802144222,3295.78486805176,1.78999996185303,21.49109623203,5614.35213522114,8.95381604183163,8.40453229836291,46.6601210962037,38.3,5.55389892257492,76.69,14.6,87.22665424,73.2309997808867,0.546457594880274,4.09999990463257,679390629.0
33,China,CHN,2012,99.9648742675781,10.6613727922473,36.654907668226,56.107828313151,318475924.0,180.873584238607,9533210.0,541163568.0,108.318908982374,2.52444844780064,3466.01953935563,1.82000005245209,21.6965960161134,6300.61511825789,7.13452377748027,7.89266546554508,46.2252655950979,42.30011749,2.61952432645544,76.58,13.5,88.09621985,73.1770279539402,0.678345458846803,4.09999990463257,700996454.0
34,China,CHN,2013,99.9970092773438,6.78842931542074,36.8346039348015,56.1080381401584,352795296.0,186.609379383303,9936680.0,554422547.0,111.158001765192,1.54856488042968,3757.18508846571,1.86000001430511,21.9020948706353,7020.33848453658,7.05073413381821,6.43296811039701,46.3989493360759,45.8,2.62105001748115,76.46,12.5,88.96902816,73.0809292040303,0.666072977690069,4.05000019073486,722694421.0
35,China,CHN,2014,100.0,8.84942449908684,37.1756399469686,56.0967380472843,390878784.0,190.870921682684,9894940.0,559325222.0,113.294060199837,2.25328104776353,3905.31759800563,1.9099999666214,22.1075946459969,7636.11660125502,6.75076031594273,7.75474147578362,45.8239527573535,47.9,1.92164162788521,76.35,11.6,89.84507917,72.8992407406556,0.630326389541893,4.09999990463257,744357517.0
36,China,CHN,2015,100.0,7.95782685246536,37.7138573117289,56.090201435984,436183969.0,202.11388866789,9830430.0,623197344.0,114.922122819496,2.64901605515733,,1.96000003814697,22.3130941846073,8016.43143498003,6.42073647723056,5.77962561401928,43.2348066562247,50.3,1.43702380935655,76.26,10.7,90.72437289,72.61433377299,0.581456146657648,,765822300.0
37,China,CHN,2016,100.0,8.53805967711195,38.4988746306529,56.0816654067681,487960477.0,207.673757889367,9814310.0,618011522.0,117.220567369674,1.7033056679066,,2.01999998092651,22.5428773041647,8094.36336675194,6.23821544775225,6.21566031591574,42.6313769323417,53.2,2.00000182191941,76.19,9.9,91.6069093,72.2027527736548,0.573050906069647,,787376534.0
38,China,CHN,2017,100.0,7.927135555967,39.4359456153723,56.0793505508419,551234509.0,201.406397971845,10017770.0,619879237.0,119.088050428682,1.53265517365534,,2.0699999332428,22.7423102916965,8816.98690451989,6.30186310052261,6.69409335617159,43.0132973858151,54.3,1.59313600071434,76.12,9.2,92.49268842,71.7175184402221,0.605245013482969,3.90000009536743,809246214.0
39,China,CHN,2018,100.0,5.20007191629261,40.4452688513777,56.0790834053772,611439830.0,195.035875938151,10313460.0,612170193.0,121.558877866113,0.173668413411983,,2.09999990463257,22.9417353835101,9905.34200389253,6.25170055569883,5.92534144412949,43.793474598526,59.2,2.07479039965578,76.02,8.5,93.38171024,71.2021137123803,0.467672053461959,3.79999995231628,829760595.0
40,China,CHN,2019,100.0,5.08170551176728,41.3961197613066,,659629070.0,197.886547609537,,,125.083154382075,0.720660550811936,,2.10999989509583,23.1411655427356,10143.8381719921,5.57453312716906,5.74578203818021,43.2511057438345,64.56912253,2.89923416358227,75.88,7.9,94.27397476,70.7232986329292,0.354740890170827,5.15000009536743,848982855.0
41,China,CHN,2020,,,42.207228628118,,417255845.0,211.387095505593,,,128.109443605623,1.86093464840964,,,23.3405957019611,10434.7751874839,2.11652289256483,1.68106576360427,43.5439575852507,70.64214286,2.4194218945778,,7.3,95.16948199,70.3199134118938,0.225947587112011,,866705688.0
