,Empresas,Ativos
0,VIA S.A,VIIA3.SA
1,Cedro,CEDO4F.SA
2,Netflix,NFLX34F.SA
3,Nike,NIKE34F.SA
4,McDonald's,MCDC34F.SA
5,Home Depot,HOME34F.SA
6,Ford Motors,FDMO34F.SA
7,Comcast,CMCS34F.SA
8,Amazon,AMZO34F.SA
9,Rodobens,RDNI3F.SA
10,Saraiva Livr,SLED4F.SA
11,Rossi Resid,RSID3F.SA
12,Mundial,MNDL3F.SA
13,Metal Leve,LEVE3F.SA
14,Karsten,CTKA4F.SA
15,Iochpe-Maxion,MYPK3F.SA
16,Grendene,GRND3F.SA
17,Locamerica,LCAM3F.SA
18,C&A,CEAB3.SA
19,Le Lis Blanc,LLIS3F.SA
20,Grazziotin,CGRA3F.SA
21,Estrela,ESTR4F.SA
22,Direcional,DIRR3F.SA
23,Coteminas,CTNM3F.SA
24,Anima,ANIM3F.SA
25,Even,EVEN3F.SA
26,Marisa,AMAR3F.SA
27,Movida,MOVI3F.SA
28,JHSF,JHSF3F.SA
29,Helbor,HBOR3F.SA
30,PDG Realty,PDGR3F.SA
31,Arezzo,ARZZ3F.SA
32,Ez Tec,EZTC3F.SA
33,Alpargatas,ALPA3F.SA
34,Localiza,RENT3F.SA
35,MRV Engenharia,MRVE3F.SA
36,Magazine Luiza,MGLU3F.SA
37,Lojas Renner,LREN3F.SA
38,Cogna,COGN3F.SA
39,Whirlpool,WHRL4.SA
40,Whirpool,WHRL3.SA
41,Tecnisa,TCSA3.SA
42,Starbucks,SBUB34.SA
43,Smiles,SMLS3.SA
44,Ser Educacional,SEER3.SA
45,Saraiva livr,SLED4.SA
46,Hoteis Othon,HOOT4.SA
47,Gafisa,GFSA3.SA
48,YDUQS,YDUQ3.SA
49,Cyrela Realty,CYRE3.SA
50,CVC,CVCB3.SA
51,Grupo SBF,SBFG3F.SA
52,Cambuci,CAMB3F.SA
0,Privalia,PRVA3.SA
1,Walmart,WALM34F.SA
2,Starbucks,SBUB34F.SA
3,Procter Gamble,PGCO34F.SA
4,Pepsico Inc,PEPB34F.SA
5,Colgate,COLG34F.SA
6,Coca-Cola,COCA34F.SA
7,Avon,AVON34F.SA
8,São Martinho,SMTO3F.SA
9,MDiasBranco,MDIA3F.SA
10,CAMIL,CAML3F.SA
11,Brasilagro,AGRO3F.SA
12,Minerva,BEEF3F.SA
13,Vivara,VIVA3.SA
14,Carrefour,CRFB3F.SA
15,Pão de Açúcar,PCAR3F.SA
16,Natura,NTCO3F.SA
17,Marfrig,MRFG3F.SA
18,JBS,JBSS3F.SA
19,Proctor Gamble,PGCO34.SA
20,BRF,BRFS3.SA
0,STONE CO,STOC31.SA
1,Nu Holdings,NUBR33.SA
2,Iguatemi S.A.,IGTI11.SA
3,XP Inc,XPBR31.SA
4,TradersClub,TRAD3.SA
5,BRB Banco,BSLI4F.SA
6,Battistella,BTTL3F.SA
7,Banpara,BPAR3F.SA
8,Wells Fargo,WFCO34F.SA
9,Visa,VISA34F.SA
10,Morgan Stanley,MSBR34F.SA
11,Mastercard,MSCD34F.SA
12,JPMorgan,JPMC34F.SA
13,Honeywell,HONB34F.SA
14,GE,GEOO34F.SA
15,Goldman Sachs,GSGI34F.SA
16,Citigroup,CTGP34F.SA
17,Bank America,BOAC34F.SA
18,3M,MMMC34F.SA
19,Sao Carlos,SCAR3F.SA
20,LPS Brasil,LPSB3F.SA
21,BMG,BMGB11.SA
22,Gradiente,IGBR3F.SA
23,General Shopping,GSHP3F.SA
24,Porto Seguro,PSSA3F.SA
25,CSU CardSyst,CARD3F.SA
26,Brasil Brokers,BBRK3F.SA
27,BR Properties,BRPR3F.SA
28,Banrisul,BRSR6F.SA
29,Banco Inter,BIDI3.SA
30,Santander BR,SANB4F.SA
31,Multiplan,MULT3F.SA
32,Itaú Unibanco,ITUB3F.SA
33,Aliansce Sonae,ALSO3.SA
34,Banco Mercantil de Investimentos,BMIN3.SA
35,Mercantil do Brasil Financeira,MERC4.SA
36,Log,LOGG3.SA
37,Itaúsa,ITSA4F.SA
38,IRB Brasil RE,IRBR3.SA
39,Padtec,PDTC3.SA
40,SYN Prop Tech,SYNE3.SA
41,Bradesco,BBDC4F.SA
42,brMalls,BRML3.SA
43,Alper,APER3F.SA
44,BB Seguridade,BBSE3.SA
45,Banco Pan,BPAN4.SA
46,Banco do Brasil,BBAS3F.SA
47,American Express,AXPB34.SA
0,Terra Santa Agro SA,LAND3.SA
1,Dexxos Part,DEXP4.SA
2,Celulose Irani,RANI3F.SA
3,Freeport,FCXO34F.SA
4,Paranapanema,PMAM3F.SA
5,Ferbasa,FESA4F.SA
6,Eucatex,EUCA3F.SA
7,Suzano Papel,SUZB3F.SA
8,Klabin S/A,KLBN4F.SA
9,Vale,VALE5.SA
10,Unipar,UNIP6F.SA
11,Suzano Holding,NEMO6.SA
12,MMX Mineração,MMXM3.SA
13,Gerdau,GOAU4.SA
14,Dexco,DXCO3.SA
15,CSN,CSNA3F.SA
16,Braskem,BRKM6.SA
17,Bradespar,BRAP4F.SA
18,Arcelor,ARMT34.SA
0,COPEL UNT N2,CPLE11F.SA
1,FII GTIS LG,GTLG11.SA
2,PPLA,PPLA11.SA
3,BKR 20YR TRS,BTLT39.SA
4,BKR 1 3 YRTR,BSHY39.SA
5,BKR SHORT TR,BSHV39.SA
6,BKR 3 7 YRTR,BIEI39.SA
7,BKR 7 10 YRT,BIYT39.SA
8,BKR US TREAS,BGOV39.SA
9,INVESTO ALUG,ALUG11.SA
10,INVESTO WRLD,WRLD11.SA
11,Caixa Agências,CXAG11.SA
12,FII ROOFTOPICI,ROOF11.SA
13,FIAGRO JGP CI,JGPX11.SA
14,FII PLUR URBCI,PURB11.SA
15,FII BRIO ME CI,BIME11.SA
16,FII JS A FINCI,JSAF11.SA
17,Tellus Desenvolvimento Logístico,TELD11.SA
18,FII MORE CRICI ER,MORC11.SA
19,FII HUSI CI ES,HUSI11.SA
20,FII CYRELA CI ES,CYCR11.SA
21,EQI RECECI,EQIR11.SA
22,CARTESIA FIICI,CACR11.SA
23,FIAGRO RIZA CI,RZAG11.SA
24,Wilson Sons,PORT3.SA
25,Getnet,GETT11.SA
26,BKR US ENER,BIYE39.SA
27,BKR MS EAFE,BSCZ39.SA
28,BKR MS USA S,BUSA39.SA
29,BKR MS RUSS,BERU39.SA
30,BKR SEMICOND,BSOX39.SA
31,FT NAT GAS,BFCG39.SA
32,FT HCARE ALPH DRN,BFXH39.SA
33,FT TECH ALPH,BFTA39.SA
34,FT CLOUD CPT,BKYY39.SA
35,FT NASD100 TC,BQTC39.SA
36,FT DJ INTERN,BFDN39.SA
37,FT RISI DIVID,BFDA39.SA
38,FT INTL EQ OP,BFPI39.SA
39,FT NASD100 EQ,BQQW39.SA
40,FT EQ OPPORT,BFPX39.SA
41,FT NASD CYBER,BCIR39.SA
42,FT MOR DV LEA,BFDL39.SA
43,FT NYSE BIOT DRN,BFBI39.SA
44,BKR SP100 DRN ED,BOEF39.SA
45,BKR MS WLD,BURT39.SA
46,BKR GL Clean,BICL39.SA
47,BKR GL Fin,BIXG39.SA
48,Coinbase Glob,C2OI34.SA
49,Store Capital,S2TO34.SA
50,ISHARES MILA,MILA.SA
51,ISHARES CSMO,CSMO.SA
52,IT NOW HYDROCI,YDRO11.SA
53,BTG S&P 500 CI,SPXB11.SA
54,BTG SMLL CAPCI,SMAB11.SA
55,West Pharma,W2ST34.SA
56,Squarespace,S2QS34.SA
57,Uipath Inc,P2AT34.SA
58,Godaddy Inc,G2DD34.SA
59,Doordash Inc,D2AS34.SA
60,Camden Prop,C2PT34.SA
61,Sp500growth,BIVW39.SA
62,Sp500 Value,BIVE39.SA
63,Msciglmivolf,BCWV39.SA
64,Avalara Inc,A2VL34.SA
65,Amc Entert H,A2MC34.SA
66,AF Invest,AFHI11.SA
67,BRL Trust DTVM,HSRE11.SA
68,Votorantim Asset Management,VSEC11.SA
69,Agribrasil,GRAO3.SA
70,INVESTO USTK,USTK11.SA
71,AgroGalaxy,AGXY3.SA
72,Tronox,CRPG6.SA
73,Smart Fit,SMFT3.SA
74,Boa Safra,SOJA3.SA
75,Zynga Inc,Z2NG34.SA
76,Trade Desk,T2TD34.SA
77,Teladochealt,T2DH34.SA
78,Sun Commun,S2UI34.SA
79,Square Inc,S2QU34.SA
80,Snowflake,S2NW34.SA
81,Shopify Inc,S2HO34.SA
82,Caesars Entt,C2ZR34.SA
83,Unity Softwr,U2ST34.SA
84,Sea Ltd,S2EA34.SA
85,Penn Nationl,P2EN34.SA
86,Medical P Tr,M2PW34.SA
87,Kingsoft Chl,K2CG34.SA
88,Draftkings,D2KN34.SA
89,Cyrusone Inc,C2ON34.SA
90,Churchill Dw,C2HD34.SA
91,Beyond Meat,B2YN34.SA
92,Energisa MT,ENMT4.SA
93,AirBnb,AIRB34.SA
0,Vibra Energia S.A,VBBR3.SA
1,Raízen,RAIZ4.SA
2,PetroRecôncavo Geral SA,RECV3.SA
3,Schlumberger,SLBG34F.SA
4,Halliburton,HALI34F.SA
5,ConocoPhillips,COPH34.SA
6,Chevron,CHVX34F.SA
7,PETRORIO,PRIO3F.SA
8,OSX Brasil,OSXB3F.SA
9,Dommo,DMMO11.SA
10,Pet Manguinhos,RPMG3F.SA
11,Ultrapar,UGPA3.SA
12,Petrobras,PETR4F.SA
13,Exxon Mobil,EXXO34.SA
14,Enauta Part,ENAT3.SA
0,Oncoclínicas,ONCO3.SA
1,Viveo,VVEO3.SA
2,Instituto Hermes Pardini SA,PARD3.SA
3,Biomm,BIOM3F.SA
4,Baumer,BALM3F.SA
5,Pfizer,PFIZ34F.SA
6,Merck,MRCK34F.SA
7,Biotoscana,GBIO33F.SA
8,Dimed,PNVL3F.SA
9,Alliar,AALR3F.SA
10,OdontoPrev,ODPV3F.SA
11,RD,RADL3F.SA
12,Qualicorp,QUAL3F.SA
13,Ourofino S/A,OFSA3.SA
14,Johnson,JNJB34.SA
15,Hypera Pharma,HYPE3.SA
16,Fleury,FLRY3.SA
17,Bristolmyers,BMYB34.SA
18,Abbott Laboratories,ABTT34.SA
0,ClearSale,CLSA3.SA
1,Livetech,LVTC3.SA
2,G2D Investments,G2DI33.SA
3,Infracommerce,IFCM3.SA
4,Alphabet,GOGL35.SA
5,Locaweb,LWSA3.SA
6,Totvs,TOTS3F.SA
7,Xerox,XRXB34F.SA
8,Qualcomm,QCOM34F.SA
9,Oracle,ORCL34F.SA
10,Microsoft,MSFT34F.SA
11,IBM,IBMB34F.SA
12,Intel,ITLC34F.SA
13,HP Company,HPQB34F.SA
14,eBay,EBAY34F.SA
15,Cisco,CSCO34F.SA
16,Att Inc,ATTB34F.SA
17,Apple,AAPL34F.SA
18,Linx,LINX3F.SA
19,Positivo Inf,POSI3F.SA
20,Ebay,EBAY34.SA
0,Brisanet,BRIT3.SA
1,Unifique,FIQE3.SA
2,Desktop,DESK3.SA
3,Verizon,VERZ34F.SA
4,OI,OIBR4F.SA
5,Tim Participações,TIMS3F.SA
6,Telefônica Brasil S.A,VIVT3F.SA
7,Telebras,TELB4F.SA
8,Att Inc,ATTB34.SA
0,Auren Energia,AURE3.SA
1,Omega Energia,MEGA3.SA
2,Celpe,CEPE6F.SA
3,CEEE-D,CEED3F.SA
4,Ceee-gt,EEEL4F.SA
5,Casan,CASN4F.SA
6,CEG,CEGR3F.SA
7,CEB,CEBR3F.SA
8,Renova,RNEW11F.SA
9,Coelce,COCE6F.SA
10,Celesc,CLSC4F.SA
11,Alupar Investimento,ALUP4F.SA
12,Sanepar,SAPR11F.SA
13,CPFL Renovav,CPRE3F.SA
14,Copel,CPLE5F.SA
15,CPFL Energia,CPFE3F.SA
16,Comgás,CGAS3F.SA
17,AES Brasil,AESB3F.SA
18,Neoenergia,NEOE3.SA
19,ISA CTEEP,TRPL4F.SA
20,Engie Brasil,EGIE3.SA
21,Taesa,TAEE4.SA
22,Sabesp,SBSP3F.SA
23,Renaova,RNEW11.SA
24,Ger Paranapanema,GEPA4.SA
25,CESP,CESP6.SA
26,Cemig,CMIG4.SA
27,Afluente T,AFLT3.SA
