Country_code,continent,sub_region,Year,Unit_Code,Value,Price_FOB_per_Barrel,Avg_Value_region,Avg_Value_continent,Qty_barrel_salary,Qty_barrel_per_avg_region,Qty_barrel_per_continent
AUS,Oceania,Australia and New Zealand,2001,USD,20886.34,24.46,17743.82,17743.82,853.9,725.42,725.42
BEL,Europe,Western Europe,2001,USD,22709.27,24.46,21822.12,11069.02,928.42,892.16,452.54
BRA,Americas,South America,2001,USD,2608.45,24.46,4419.78,7717.06,106.64,180.69,315.5
CAN,Americas,Northern America,2001,USD,15083.2,24.46,15370.25,7717.06,616.65,628.38,315.5
CHL,Americas,South America,2001,USD,4596.13,24.46,4419.78,7717.06,187.9,180.69,315.5
COL,Americas,South America,2001,USD,6054.77,24.46,4419.78,7717.06,247.54,180.69,315.5
CRI,Americas,Central America,2001,USD,8105.27,24.46,5009.78,7717.06,331.37,204.82,315.5
CZE,Europe,Eastern Europe,2001,USD,6039.91,24.46,4795.21,11069.02,246.93,196.04,452.54
ESP,Europe,Southern Europe,2001,USD,12194.85,24.46,11569.28,11069.02,498.56,472.99,452.54
EST,Europe,Northern Europe,2001,USD,3468.89,24.46,8340.16,11069.02,141.82,340.97,452.54
FRA,Europe,Western Europe,2001,USD,18368.69,24.46,21822.12,11069.02,750.97,892.16,452.54
GBR,Europe,Northern Europe,2001,USD,14707.81,24.46,8340.16,11069.02,601.3,340.97,452.54
GRC,Europe,Southern Europe,2001,USD,13732.29,24.46,11569.28,11069.02,561.42,472.99,452.54
HUN,Europe,Eastern Europe,2001,USD,5766.44,24.46,4795.21,11069.02,235.75,196.04,452.54
IRL,Europe,Northern Europe,2001,USD,15596.64,24.46,8340.16,11069.02,637.64,340.97,452.54
ISR,Asia,Western Asia,2001,USD,12260.39,24.46,9143.46,9702.38,501.24,373.81,396.66
JPN,Asia,Eastern Asia,2001,USD,12360.22,24.46,10261.3,9702.38,505.32,419.51,396.66
KOR,Asia,Eastern Asia,2001,USD,8162.38,24.46,10261.3,9702.38,333.7,419.51,396.66
