;0;1;2;3;4;0;1;2;3;4;0;1;2;3;4
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
1;DF;BRASILIA;A001;-15,78944444;-47,92583332;GO;GOIANIA;A002;-16,64277777;-49,21999999;DF;AGUAS EMENDADAS;A045;-15,59638888;-47,62583332
