Year,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Coke/Pepsi (0.33 liter bottle),Water (0.33 liter bottle),Cappuccino (regular),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Water (1.5 liter bottle),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Local Cheese (1kg),Bottle of Wine (Mid-Range),Cigarettes 20 Pack (Marlboro),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),One-way Ticket (Local Transport),Gasoline (1 liter),Monthly Pass (Regular Price),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes
2021,30.0,150.0,31.0,8.0,12.5,5.33,3.54,7.84,4.86,7.54,8.87,2.93,5.41,15.44,9.55,5.61,4.67,2.77,6.00,7.09,5.77,5.38,38.70,42.5,10.0,15.27,42.53,1962.71,1150.0,4117.65,2918.75,9962.25,7262.88,1437.14,4.6,6.42,250.0,8.75,422.05,108.45,143.13,-,35.0,199.35,194.94,302.58,307.62
2020,25.0,120.0,30.0,7.5,15.0,5.32,3.17,6.69,4.07,6.86,6.89,3.06,5.67,11.63,8.26,4.41,4.81,2.66,4.41,5.88,5.24,4.98,33.27,35.0,9.88,12.14,27.55,1683.33,1229.69,3470.31,2706.67,8476.31,6590.0,1845.71,4.2,4.96,180.0,9.32,465.18,115.77,116.24,107.14,33.6,172.54,174.38,315.25,276.33
2019,30.0,115.0,26.21,8.0,12.0,5.19,3.33,6.58,3.78,6.05,6.29,2.75,4.9,10.56,7.30,5.30,4.70,3.08,4.20,6.49,5.06,4.84,30.50,40.0,8.0,12.16,29.67,1877.45,1204.26,3445.0,2412.24,11433.23,6615.17,2188.29,4.05,4.97,190.0,10.02,490.92,112.08,123.09,113.33,32.0,204.55,191.44,335.89,268.33
2018,25.0,120.0,25.0,8.0,15.0,5.14,3.1,6.16,3.8,6.29,5.19,3.27,5.29,12.64,6.05,5.22,3.41,2.66,3.57,5.05,4.64,3.77,25.25,35.0,8.25,11.54,25.00,1791.85,1208.89,3667.44,2459.09,11042.25,7035.4,1910.82,3.95,4.91,200.0,9.15,374.07,121.01,140.1,88.27,30.0,206.46,151.32,331.89,264.35
2017,27.0,120.0,25.0,7.0,15.0,4.94,3.01,6.13,3.69,6.38,5.61,2.4,4.96,11.33,6.15,3.91,3.33,2.40,4.34,5.00,4.60,3.70,29.62,30.0,8.0,11.06,26.06,1954.0,1260.61,3933.33,2693.1,10067.17,7436.0,2053.33,3.8,4.07,175.0,11.92,360.77,119.84,129.62,129.99,30.0,209.24,163.8,317.18,262.4
2016,29.0,110.0,25.0,7.0,15.0,4.58,3.16,6.18,4.01,5.91,5.78,2.61,4.93,12.87,7.76,4.06,4.58,2.59,3.85,6.33,4.90,5.34,26.74,30.0,8.0,10.92,24.04,2190.91,1399.06,4505.88,2751.67,11056.0,7152.44,2325.22,3.8,3.99,167.2,11.71,375.27,83.17,142.9,87.14,28.0,185.41,165.28,305.67,251.61
2015,25.0,120.0,22.0,6.0,15.0,4.41,3.03,5.55,3.17,5.52,4.54,2.42,4.3,12.44,5.93,4.08,4.02,2.33,3.52,6.34,4.20,4.51,18.57,35.0,7.0,13.8,23.83,2178.65,1626.92,4557.69,2913.33,12463.34,7612.25,2026.32,3.4,3.63,152.0,12.58,340.63,81.34,162.41,164.44,28.0,209.68,198.95,339.67,251.72
2014,20.0,100.0,20.0,7.0,10.0,3.99,2.71,5.22,2.99,4.71,4.35,2.57,4.19,7.62,5.52,3.69,3.81,2.35,3.28,4.66,-,-,18.38,25.0,6.0,10.89,-,1995.65,1305.82,4952.38,2980.95,10688.63,6926.0,1770.74,3.0,3.16,140.0,10.97,272.08,75.68,130.4,150.00,25.0,204.76,171.18,255.9,236.0
2013,20.0,100.0,18.0,5.0,8.0,3.52,2.31,4.61,2.99,4.22,3.91,2.38,3.44,6.11,5.10,3.54,3.42,2.61,3.06,4.82,-,-,21.33,27.5,6.0,9.75,-,2002.67,1188.33,4229.41,2672.73,9579.8,6383.18,2674.23,2.78,3.03,100.0,10.30,240.41,88.18,130.07,100.00,20.0,174.92,183.0,262.22,217.78
2012,20.0,100.0,18.0,4.0,7.0,3.45,2.25,4.61,2.5,4.25,4.27,2.0,3.46,5.69,5.45,3.42,2.75,2.28,3.07,3.66,-,-,21.99,22.5,5.0,10.0,-,2121.6,1526.81,4320.38,3107.0,11530.0,6865.0,2285.33,3.0,2.91,140.58,9.80,286.33,87.75,207.0,103.25,20.0,249.94,211.67,299.77,253.75
