Year;Stage;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Winner;Points
1930;Group A;France;4;1;Mexico;France;3
1930;Group D;USA;3;0;Belgium;USA;3
1930;Group B;Yugoslavia;2;1;Brazil;Yugoslavia;3
1930;Group C;Romania;3;1;Peru;Romania;3
1930;Group A;Argentina;1;0;France;Argentina;3
1930;Group A;Chile;3;0;Mexico;Chile;3
1930;Group B;Yugoslavia;4;0;Bolivia;Yugoslavia;3
1930;Group D;USA;3;0;Paraguay;USA;3
1930;Group C;Uruguay;1;0;Peru;Uruguay;3
1930;Group A;Chile;1;0;France;Chile;3
1930;Group A;Argentina;6;3;Mexico;Argentina;3
1930;Group B;Brazil;4;0;Bolivia;Brazil;3
1930;Group D;Paraguay;1;0;Belgium;Paraguay;3
1930;Group C;Uruguay;4;0;Romania;Uruguay;3
1930;Group A;Argentina;3;1;Chile;Argentina;3
1930;Semi-finals;Argentina;6;1;USA;Argentina;3
1930;Semi-finals;Uruguay;6;1;Yugoslavia;Uruguay;3
1930;Final;Uruguay;4;2;Argentina;Uruguay;3
1934;Preliminary round;Austria;3;2;France;Austria;3
1934;Preliminary round;Hungary;4;2;Egypt;Hungary;3
1934;Preliminary round;Switzerland;3;2;Netherland;Switzerland;3
1934;Preliminary round;Sweden;3;2;Argentina;Sweden;3
1934;Preliminary round;Germany;5;2;Belgium;Germany;3
1934;Preliminary round;Spain;3;1;Brazil;Spain;3
1934;Preliminary round;Italy;7;1;USA;Italy;3
1934;Preliminary round;Czechoslovakia;2;1;Romania;Czechoslovakia;3
1934;Quarter-finals;Czechoslovakia;3;2;Switzerland;Czechoslovakia;3
1934;Quarter-finals;Germany;2;1;Sweden;Germany;3
1934;Quarter-finals;Italy;1;1;Spain;Draw;1
1934;Quarter-finals;Austria;2;1;Hungary;Austria;3
1934;Quarter-finals;Italy;1;0;Spain;Italy;3
1934;Semi-finals;Italy;1;0;Austria;Italy;3
1934;Semi-finals;Czechoslovakia;3;1;Germany;Czechoslovakia;3
1934;Match for third place;Germany;3;2;Austria;Germany;3
1934;Final;Italy;2;1;Czechoslovakia;Italy;3
1938;First round;Switzerland;1;1;Germany;Draw;1
1938;First round;Hungary;6;0;Dutch East Indies;Hungary;3
1938;First round;France;3;1;Belgium;France;3
1938;First round;Cuba;3;3;Romania;Draw;1
1938;First round;Italy;2;1;Norway;Italy;3
1938;First round;Brazil;6;5;Poland;Brazil;3
1938;First round;Czechoslovakia;3;0;Netherland;Czechoslovakia;3
1938;First round;Cuba;2;1;Romania;Cuba;3
1938;First round;Switzerland;4;2;Germany;Switzerland;3
1938;Quarter-finals;Brazil;1;1;Czechoslovakia;Draw;1
1938;Quarter-finals;Hungary;2;0;Switzerland;Hungary;3
1938;Quarter-finals;Sweden;8;0;Cuba;Sweden;3
1938;Quarter-finals;Italy;3;1;France;Italy;3
1938;Quarter-finals;Brazil;2;1;Czechoslovakia;Brazil;3
1938;Semi-finals;Hungary;5;1;Sweden;Hungary;3
1938;Semi-finals;Italy;2;1;Brazil;Italy;3
1938;Match for third place;Brazil;4;2;Sweden;Brazil;3
1938;Final;Italy;4;2;Hungary;Italy;3
1950;Group A;Brazil;4;0;Mexico;Brazil;3
1950;Group B;England;2;0;Chile;England;3
1950;Group B;Spain;3;1;USA;Spain;3
1950;Group C;Sweden;3;2;Italy;Sweden;3
1950;Group A;Yugoslavia;3;0;Switzerland;Yugoslavia;3
1950;Group A;Brazil;2;2;Switzerland;Draw;1
1950;Group A;Yugoslavia;4;1;Mexico;Yugoslavia;3
1950;Group B;Spain;2;0;Chile;Spain;3
1950;Group C;Sweden;2;2;Paraguay;Draw;1
1950;Group B;USA;1;0;England;USA;3
1950;Group A;Brazil;2;0;Yugoslavia;Brazil;3
1950;Group B;Spain;1;0;England;Spain;3
1950;Group C;Italy;2;0;Paraguay;Italy;3
1950;Group D;Uruguay;8;0;Bolivia;Uruguay;3
1950;Group A;Switzerland;2;1;Mexico;Switzerland;3
1950;Group B;Chile;5;2;USA;Chile;3
1950;Group E;Uruguay;2;2;Spain;Draw;1
1950;Group E;Brazil;7;1;Sweden;Brazil;3
1950;Group E;Brazil;6;1;Spain;Brazil;3
1950;Group E;Uruguay;3;2;Sweden;Uruguay;3
1950;Group E;Sweden;3;1;Spain;Sweden;3
1950;Group E;Uruguay;2;1;Brazil;Uruguay;3
1954;Group C;Uruguay;2;0;Czechoslovakia;Uruguay;3
1954;Group C;Austria;1;0;Scotland;Austria;3
1954;Group A;Brazil;5;0;Mexico;Brazil;3
1954;Group A;Yugoslavia;1;0;France;Yugoslavia;3
1954;Group B;Germany;4;1;Turkey;Germany;3
1954;Group B;Hungary;9;0;South Korea;Hungary;3
1954;Group D;England;4;4;Belgium;Draw;1
1954;Group D;Switzerland;2;1;Italy;Switzerland;3
1954;Group C;Uruguay;7;0;Scotland;Uruguay;3
1954;Group C;Austria;5;0;Czechoslovakia;Austria;3
1954;Group A;France;3;2;Mexico;France;3
1954;Group A;Brazil;1;1;Yugoslavia;Draw;1
1954;Group B;Hungary;8;3;Germany;Hungary;3
1954;Group B;Turkey;7;0;South Korea;Turkey;3
1954;Group D;England;2;0;Switzerland;England;3
1954;Group D;Italy;4;1;Belgium;Italy;3
1954;Group B;Germany;7;2;Turkey;Germany;3
1954;Group D;Switzerland;4;1;Italy;Switzerland;3
1954;Quarter-finals;Uruguay;4;2;England;Uruguay;3
1954;Quarter-finals;Austria;7;5;Switzerland;Austria;3
