Match,Date,Team_1,Team_2
1,2022-11-21,Qatar,Ecuador
3,2022-11-21,Senegal,Netherlands
2,2022-11-21,England,Iran
4,2022-11-22,USA,Wales
8,2022-11-23,Argentina,Saudi Arabia
7,2022-11-22,Mexico,Poland
6,2022-11-22,France,Australia
5,2022-11-22,Denmark,Tunisia
12,2022-11-23,Spain,Costa Rica
11,2022-11-23,Germany,Japan
10,2022-11-23,Belgium,Canada
9,2022-11-24,Morocco,Croatia
16,2022-11-25,Brazil,Serbia
15,2022-11-24,Switzerland,Cameroon
14,2022-11-24,Portugal,Ghana
13,2022-11-24,Uruguay,South Korea
20,2022-11-25,England,USA
19,2022-11-25,Wales,Scotland
18,2022-11-25,Qatar,Senegal
17,2022-11-26,Netherlands,Ecuador
24,2022-11-27,France,Denmark
23,2022-11-26,Tunisia,Australia
22,2022-11-26,Argentina,Mexico
21,2022-11-26,Poland,Saudi Arabia
28,2022-11-27,Belgium,Morocco
27,2022-11-27,Croatia,Canada
26,2022-11-27,Spain,Germany
25,2022-11-28,Japan,Costa Rica
32,2022-11-29,Portugal,Uruguay
31,2022-11-28,South Korea,Ghana
30,2022-11-28,Brazil,Switzerland
29,2022-11-28,Cameroon,Serbia
36,2022-11-29,Netherlands,Qatar
35,2022-11-29,Ecuador,Senegal
34,2022-11-29,Wales,Scotland
33,2022-11-30,Iran,USA
40,2022-12- 1,Poland,Argentina
39,2022-11-30,Saudi Arabia,Mexico
38,2022-11-30,Tunisia,France
37,2022-11-30,Australia,Denmark
44,2022-12- 1,Japan,Spain
43,2022-12- 1,Costa Rica,Germany
42,2022-12- 1,Croatia,Belgium
41,2022-12- 2,Canada,Morocco
48,2022-12- 3,Cameroon,Brazil
47,2022-12- 2,Serbia,Switzerland
46,2022-12- 2,South Korea,Portugal
45,2022-12- 2,Ghana,Uruguay
